Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
7-Aug-13,7-Aug-13,,"near the Equestrian Club on the banks of the Diyala River, 6 km northeast of Baquba",body of man found,gunfire,1,1
7-Aug-13,7-Aug-13,,"Qadiriya, Musayyib","employees at Musayyib Thermal Power Station, in a car; driver killed",magnetic bomb,1,1
7-Aug-13,7-Aug-13,PM,central Falluja,Palestinian owner of a shop selling construction materials,gunfire,1,1
7-Aug-13,7-Aug-13,PM,"the road leading to the stadium, central Ramadi",women leaving their home,roadside bomb,2,2
7-Aug-13,7-Aug-13,,"Sumer, east Mosul","police patrol, young girl killed",roadside bomb,1,1
7-Aug-13,7-Aug-13,PM,"Albosalibi, east of Dhuluiyah","police patrol, police (possibly federal) killed",one or two roadside bombs,0,3
7-Aug-13,7-Aug-13,PM,"al-Asri, central Tikrit","police driver in the Crime Department, possibly in a revenge attack by his brother, an escapee from Abu Ghraib; also his wife, two sons and one daughter, and a crowd of people who came to help","gunfire, executed; explosions and then a car bomb that exploded after a crowd had gathered",9,17
6-Aug-13,6-Aug-13,,Samarra,civilian,gunfire,1,1
6-Aug-13,6-Aug-13,PM,"Anbakiya, north of Baquba",civilians in busy commercial street in predominantly Shi'ite village,car bomb,10,10
6-Aug-13,6-Aug-13,PM,"the outskirts of Qatoon, west Baquba",civilian,roadside bomb,1,1
6-Aug-13,6-Aug-13,AM,"Himreen, 7 km south of Saadia",civilians in housing complex behind school,roadside bomb,2,2
6-Aug-13,6-Aug-13,PM,"Jubail, south Falluja",policeman as he was leaving his home,"drive-by shooting, automatic weapons",1,1
3-Aug-13,6-Aug-13,,Ramadi,"body found in cemetery of young man kidnapped three days previously from his home in Aldhabtih, Karma",gunshot wounds to the head and abdomen,1,1
6-Aug-13,6-Aug-13,,"Ain Colt, 40 km south of Mosul",policeman at his sister's home,"gunfire, executed",1,1
6-Aug-13,6-Aug-13,,"Hay Nazzal, central Falluja",elderly man as he was leaving his home,gunfire,1,1
6-Aug-13,6-Aug-13,,"Abu Ghraib, west of Baghdad",,roadside bomb,2,2
6-Aug-13,6-Aug-13,PM,"Thaalibh, northeast Baghdad",civilians,car bomb,4,4
6-Aug-13,6-Aug-13,8.00 pm to 9.00 pm,"Husseiniya, northeast Baghdad",civilians,car bomb,2,4
6-Aug-13,6-Aug-13,8.00 pm to 9.00 pm,"Zafaraniya, southeast Baghdad",civilians,car bomb and roadside bomb,3,4
6-Aug-13,6-Aug-13,8.00 pm to 9.00 pm,"Dora, south Baghdad",civilians near refreshment stand,car bomb and possibly roadside bomb,5,5
6-Aug-13,6-Aug-13,8.00 pm to 9.00 pm,"Nahrawan, 20 km southeast of Baghdad",civilians in outdoor market,car bomb and possibly roadside bomb,6,8
