Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
15-Apr-11,15-Apr-11,,"Al-Dabbouri, 75km or Balcha, 45 km north of Kut",body of 32-year-old man found shot dead,gunfire,1,1
14-Apr-11,14-Apr-11,,Mahmudiya/Yusufiyah,,roadside bombs,2,2
14-Apr-11,14-Apr-11,5:46 PM,"Kirkuk-Baghdad highway, Kirkuk","one killed, another injured",bomb,1,1
13-Apr-11,13-Apr-11,PM,"Mowailiya, north Babil","Sheikh Shamil Taha Rasheed al-Janabi, Awakening Council leader",magnetic bomb attached to car,1,1
13-Apr-11,13-Apr-11,,"Zahra, north Baquba",woman near home,gunfire,1,1
13-Apr-11,13-Apr-11,,Baghdad,police general,gunfire,1,1
13-Apr-11,13-Apr-11,6:10-7:15 PM,"near Sulaimaniya restaurant, Domiz, southwest Kirkuk",market area,car bomb,1,2
13-Apr-11,13-Apr-11,AM,"Al Amiriya, west Baghdad",,drive-by shooting,2,2
13-Apr-11,13-Apr-11,AM,"Mansour, south Mosul",police checkpoint,gunfire,1,1
13-Apr-11,13-Apr-11,PM,"Al-Mishraq, east Mosul",home owner and family,bomb attached to door of house,1,1
12-Apr-11,12-Apr-11,,west Mosul,,gunfire,1,1
12-Apr-11,12-Apr-11,,near Buhriz,Awakening Council member and policeman in car,magnetic bomb attached to car,1,1
12-Apr-11,12-Apr-11,,"al-Tahrir, east Mosul",,drive-by shooting,1,1
12-Apr-11,12-Apr-11,,"Jazaer, Mosul",policeman at petrol station,gunfire,1,1
7-Apr-11,12-Apr-11,,"Mosul-Baghdad road, south of Mosul",body of kidnapped Badoush prison guard found shot dead,"gunfire, executed",1,1
12-Apr-11,12-Apr-11,,"al-Doura, southwest Baghdad",policeman and civilian in car,gunfire,2,2
12-Apr-11,12-Apr-11,,"al-Doura, southwest Baghdad",car driver,magnetic bomb attached to car,1,1
12-Apr-11,12-Apr-11,,Hilla,Awakening Council leader in car,magnetic bomb attached to car,1,1
12-Apr-11,12-Apr-11,,"14th Ramadan Street, Mansour, west Baghdad","minibus, driver killed",magnetic bomb attached to minibus,1,1
12-Apr-11,12-Apr-11,,"near police directorate, central Fallujah",police lieutenant in car,magnetic bomb attached to car,1,1
12-Apr-11,12-Apr-11,,Karmeh,"Waleed Khalid, former Awakening Council member",magnetic bomb attached to car,1,1
12-Apr-11,12-Apr-11,5:30 AM,Khan Dari/Abu Ghraib,"house of former Awakening Council member, Ahmed Jassim, wife killed",bomb in house,1,1
12-Apr-11,12-Apr-11,,"Zuba'a/al-Dour, southeast Falluja","cousins, contractors working for Iraqi army",bombs in houses,2,2
12-Apr-11,12-Apr-11,,Hilla,secutiry patrol,roadside bomb,2,2
12-Apr-11,12-Apr-11,PM,central Ramadi,man in his shop,gunfire,1,1
11-Apr-11,11-Apr-11,,"Haditha, west of Ramadi",water project employees returning home,gunfire,2,2
11-Apr-11,11-Apr-11,,east of Baladruz,police officer in car,roadside bomb,1,1
11-Apr-11,11-Apr-11,,"Al-Amil, west Mosul",policeman near home,gunfire,1,1
11-Apr-11,11-Apr-11,,south Amara,,gunfire,1,1
11-Apr-11,11-Apr-11,PM,"Dora, south Baghdad",policeman,sniper fire,1,1
11-Apr-11,11-Apr-11,,"Binoog, Baghdad",police lieutenant colonel in car,gunfire,1,1
11-Apr-11,11-Apr-11,PM,between Khafaga and Khan Bani Saad,Shiite farming family,bombs in fields,10,10
11-Apr-11,11-Apr-11,PM,"al-Buhairat, Iskandariya",police patrol,roadside bomb,2,2
11-Apr-11,11-Apr-11,8:00 AM,"Jisr Diyala, southeast Baghdad",minibus hit,roadside bomb,4,4
11-Apr-11,11-Apr-11,11:00 AM,"al-Andalus, central Falluja",market,roadside and car bombs,4,4
10-Apr-11,10-Apr-11,,"Zaiyouna, east Baghdad",police Captain Mohammed Muhssan,gunfire,1,1
10-Apr-11,10-Apr-11,,"Ghazaliya, west Baghdad",former army general,gunfire,1,1
10-Apr-11,10-Apr-11,PM,"near al-Hadra al-Muhammadiya mosque, central Falluja",money exchange office owner in car,magnetic bomb attached to car,1,1
10-Apr-11,10-Apr-11,AM,"Zaafaraniya, southeast Baghdad",goldsmith's shop,gunfire,2,2
10-Apr-11,10-Apr-11,AM,"Zaafaraniya, southeast Baghdad",Water Resources Ministry driver,magnetic bomb attached to car,1,1
10-Apr-11,10-Apr-11,,"Mansour, west Mosul","police caheckpoint, police captain killed",gunfire,1,1
10-Apr-11,10-Apr-11,PM,"Hurriya, northwest Baghdad","Raghad Farouq, parliamentary employee",magnetic bomb attached to car,1,1
8-Apr-11,9-Apr-11,,central Falluja,off-duty policeman,magnetic bomb attached to car,1,1
9-Apr-11,9-Apr-11,,"al-Shurta, central Falluja",teacher's car,magnetic bomb attached to car,1,1
9-Apr-11,9-Apr-11,PM,"al-Muthanna, east Mosul","Yasser Ahmed Sheet, assistant dean of the fine arts faculty, Mosul University",gunfire,1,1
9-Apr-11,9-Apr-11,,between Beiji and Haditha,"kidnapped businessman, Yassir al-Fahad","gunfire, executed",1,1
9-Apr-11,9-Apr-11,,"Amel, west Mosul","off-duty policeman, 'working with the National Investigations Office', near home",gunfire,1,1
8-Apr-11,8-Apr-11,,north al-Nasseriya,"child shot by police shooting in air, trying to disperse a crowd",gunfire,1,1
8-Apr-11,8-Apr-11,,"al-Sharqiya, al-Nuaamaniya",25-year-old woman near home,Kalashnikov rifle,1,1
8-Apr-11,8-Apr-11,AM,"Uwariej, southwest Baghdad","Taha Hamad Jaafar, al-Masar TV channel, director and Abid Farhan, human rights activist",drive-by shooting,2,2
8-Apr-11,8-Apr-11,4:40 AM on,"Camp Ashraf, northern Baquba",Iranian exiles in Camp Ashraf,gunfire,34,34
7-Apr-11,7-Apr-11,PM,"Area 90/Teseen, central Kirkuk","Sheikh Abdulrahman Ali Aziz al-Dalwi, tribal leader",drive-by shooting,1,1
7-Apr-11,7-Apr-11,PM,"Saba al-Bour, north Baghdad",,roadside bomb,2,2
6-Apr-11,6-Apr-11,,Baghdad,ministry worker,gunfire,1,1
6-Apr-11,6-Apr-11,,Baghdad,local official,bomb,1,1
29-Mar-11,5-Apr-11,,"Talabta, west Mosul",body of kidnapped man from Owienat found shot dead,gunfire,1,1
5-Apr-11,5-Apr-11,PM,"al-Maared, east Mosul",jeweller in car,drive-by shooting,1,1
5-Apr-11,5-Apr-11,AM,Tarmiyah,teacher in home,gunfire,1,1
5-Apr-11,5-Apr-11,PM,Baaj,car dealership,suicide bomber,3,3
5-Apr-11,5-Apr-11,PM,"Atifiyah, north Baghdad",possibly people from Jawadain Husseiniya,roadside bombs,2,3
4-Apr-11,4-Apr-11,,Jurf al-Sakhar,Awakening Council members investigating site of possible body,roadside bomb,5,5
4-Apr-11,4-Apr-11,,"Al-Khusairiya, Shirqat","Abdullah al-Jabbouri, Awakening Council leader",gunfire,1,1
4-Apr-11,4-Apr-11,AM,"Doura, south Baghdad","Razzaq Obayys Merzouq, bodyguard killed",roadside bomb,1,1
4-Apr-11,4-Apr-11,AM,"Al-Amiriya, southwest Baghdad","Abid Mijwal Abid, Awakeing Council member",roadside bomb,1,1
4-Apr-11,4-Apr-11,PM,"Zinbaraniya/Bizellia, Yusufiya",family of dead college professor in home,gunfire,6,6
3-Apr-11,3-Apr-11,,"al-Jihad, southwest Baghdad","Supreme Iraqi Islamic Council member, Majid Abdul Hussein, bodyguard killed",roadside bomb or bomb attached to car,1,1
3-Apr-11,3-Apr-11,,"Aden, east Mosul","outdoor market, woman killed",Katyusha rocket,1,1
3-Apr-11,3-Apr-11,PM,Ramadi,police patrol,"roadside, car or magnetic bombs, or suicide bomber",2,2
2-Apr-11,2-Apr-11,,Qaem-Ramadi highway,"convoy of Industry Minister, Ahmed Al Karbuli, bodyguard killed",roadside bomb,1,1
2-Apr-11,2-Apr-11,AM,"al-Alwiya, 45 km southwest of Kirkuk",Awakening Council checkpoint,drive-by shooting,1,1
2-Apr-11,2-Apr-11,,"Al-No'maniya, north of Kut",merchant Karim Abid Hmoud and Egyptian bodyguard in home,gunfire,2,2
2-Apr-11,2-Apr-11,AM,"Kubaisa, west of Ramadi",joint police and army checkpoint,"gunfire, grenades",1,2
1-Apr-11,1-Apr-11,,"Al Haswa, Abu Ghraib",former Awakening Council member in home,gunfire,1,1
1-Apr-11,1-Apr-11,,Falluja,"soldiers protecting worshippers, worshipper killed as well as soldiers",suicide bomber,1,1
1-Apr-11,1-Apr-11,,near Hilla,bodies of men found in river,one tortured,2,2
1-Apr-11,1-Apr-11,PM,"Dawaseh, central Mosul",man in his 30s,gunfire,1,1
31-Mar-11,31-Mar-11,,near Mosul,Body of man found shot dead,gunfire,1,1
31-Mar-11,31-Mar-11,,"Asal Street, Amiriya, west Baghdad",policeman in car,magnetic bomb attached to car,1,1
31-Mar-11,31-Mar-11,,"Al Haswa, Abu Ghraib","home of policeman, father killed",hand grenade,1,1
31-Mar-11,31-Mar-11,,"Karrada, Baghdad",house hit,rocket or mortar round,1,1
24-Mar-11,31-Mar-11,,"Euphrates River, near Babylon",bodies found in river,-,4,4
30-Mar-11,30-Mar-11,AM,"Al-Yousef, south Mosul",man near home,roadside bomb,1,1
30-Mar-11,30-Mar-11,,Babil,mutilated body found in river,"mutilated, executed",1,1
30-Mar-11,30-Mar-11,AM,"Al-Aalam/Arkov, Abu Ghraib",bothers in home,gunfire,5,5
30-Mar-11,30-Mar-11,,"al-Maamon, southwest Mosul",man near home,drive-by shooting,1,1
30-Mar-11,30-Mar-11,PM,Baaj,"bpdy of teenage boy, brother of a policeman, found beheaded in Baaj","found beheaded, executed",1,1
30-Mar-11,30-Mar-11,PM,Ka'anan,man returning home,gunfire,1,1
30-Mar-11,30-Mar-11,PM,"Orouba, central Diwaniya","civilian car, man killed",Katyusha rocket,1,1
29-Mar-11,29-Mar-11,,"Badoush, 6 miles west of Mosul",police or army convoy,roadside bomb,0,1
29-Mar-11,29-Mar-11,,Al-Karmah,policeman and family in home,machine-guns and hand grenade,1,1
29-Mar-11,29-Mar-11,6:30 AM,across Tigris from Green Zone,"Green Zone, civilian killed",Katyusha rocket,1,1
29-Mar-11,29-Mar-11,AM,"Bani/Zaidan, al Hamdani/Abu Ghraib",home of major at military academy,"gunfire, grenades",2,2
29-Mar-11,29-Mar-11,PM,"Harthiya/Mansour, west Baghdad","Dr. Mohammad Hussein, Dean of Dentistry at Mustansiriya University",magnetic bomb attached to car,1,1
29-Mar-11,29-Mar-11,12:40 PM on,Tikrit,council building,"suicide bombers, car bombs, gunfire",60,71
28-Mar-11,28-Mar-11,,outskirts of Hilla,,magnetic bomb attached to car,1,1
28-Mar-11,28-Mar-11,AM,"near Buccan Jail, west Basra",body of driver found,-,1,1
28-Mar-11,28-Mar-11,,Mussayab,,car bomb,1,1
28-Mar-11,28-Mar-11,AM,Al-Tahrir/Iskandariya,joint police and army patrol,roadside bomb,1,2
28-Mar-11,28-Mar-11,PM,east Mosul,off-duty policeman near home,drive-by shooting,1,1
28-Mar-11,28-Mar-11,,"Ali Niema market, al-Qahira, Baghdad",jewellers' shops,gunfire,3,4
27-Mar-11,27-Mar-11,AM,"al-Jamia, north Mosul",electrician,gunfire,1,1
27-Mar-11,27-Mar-11,,east al-Kut,"body of Falah Jabbar Shindi, Baghdad policeman, found stabbed",stabbed,1,1
27-Mar-11,27-Mar-11,,Babil,house owner,-,1,1
27-Mar-11,27-Mar-11,,"Yarmouk, west Baghdad",taxi,magnetic bomb attached to car,1,1
27-Mar-11,27-Mar-11,PM,"Al-Tanak, west Mosul",family in home,gunfire,7,7
26-Mar-11,26-Mar-11,,north Mosul,,drive-by shooting,1,1
26-Mar-11,26-Mar-11,,Abu Ghraib,family in car,roadside bomb,3,3
26-Mar-11,26-Mar-11,,near al-Maqdadiyah,famer and son,explosive charge,1,1
26-Mar-11,26-Mar-11,,"al-Nisour Square, Baghdad","Zaid Abdul-Munim Ali, 'professor at the Baghdad Cancer Research Center'",magnetic bomb attached to car,1,1
1-Mar-11,26-Mar-11,,"al-Kuwair, 50km southeast of Mosul","bodies of men ageed 30-40 found shot dead in al-Kuwair, southeast of Mosul",gunfire,2,2
26-Mar-11,26-Mar-11,PM,Ramadi,"Colonel Qais al-Dilaimi, 'officer at Anbar Police Academy'",drive-by shooting,1,1
24-Mar-11,25-Mar-11,,"Sansal, north Muqdadiya",Awakening Council headquarters,gunfire,1,1
25-Mar-11,25-Mar-11,,west Mosul,"police patrols, civilians killed",roadside bomb,2,2
24-Mar-11,24-Mar-11,,"by River Tigris, central Amara",body of 4-year-old girl found strangled,strangled,1,1
22-Mar-11,24-Mar-11,,Hilla,mutilated bodies of young men found,mutilated,4,4
23-Mar-11,23-Mar-11,,"al-Ariefiya Street, Jisr Diala/Zaafaraniya, southeast Baghdad",,roadside bomb,1,1
23-Mar-11,23-Mar-11,,"Sadr City, Baghdad","Wisam Karim, Public Works Ministry official",gunfire,1,1
23-Mar-11,23-Mar-11,,"Hurriya, northwest Baghdad",Electricity Ministry driver,magnetic bomb attached to car,1,1
23-Mar-11,23-Mar-11,,"Al Amiriya, west Baghdad",taxi driver,magnetic bomb attached to car,1,1
23-Mar-11,23-Mar-11,AM,"near Qarahanjir, 43 km northeast of Kirkuk","body of 43-year-old Ahmed Ali Murad from Panja Ali, Kirkuk, found shot dead",gunfire,1,1
23-Mar-11,23-Mar-11,,"al-Maamon, southwest Mosul",policeman,gunfire,1,1
23-Mar-11,23-Mar-11,,"fuel station in al-Shefaa, west Mosul",motorist driving in wrong direction at fuel station,Federal police gunfire,1,1
22-Mar-11,22-Mar-11,PM,"Sadr City, Baghdad",police Captain Jawad Kadhim,gunfire,1,1
22-Mar-11,22-Mar-11,,"near al-Douri restaurant, Palestine Street, east Baghdad",police Major Ahmad Abdul-Elah,gunfire,1,1
22-Mar-11,22-Mar-11,,"near Al-Mishin/Mashan compound, southeast Baghdad",police patrol,roadside bomb,1,1
22-Mar-11,22-Mar-11,PM,southwest Mosul,off-duty policeman,gunfire,1,1
22-Mar-11,22-Mar-11,,Halabja,"clashes between police and protesters, policeman killed",gunfire,1,1
21-Mar-11,21-Mar-11,AM,"al-Hussien, central Najaf","jewellery and mobile phone shops, owners killed during robbery",gunfire,2,2
21-Mar-11,21-Mar-11,PM,"Riyadh, southwest of Kirkuk","Lieutenant Ibrahim Matar, Awakening Council member",gunfire,1,1
21-Mar-11,21-Mar-11,,Mosul,,roadside bomb,3,3
21-Mar-11,21-Mar-11,,"Palestine Street, Baghdad","car of Oil Ministry employee, wife killed",drive-by shooting,1,1
20-Mar-11,20-Mar-11,AM,"Maamoun, southwest Mosul",home of contractor,gunfire,1,1
20-Mar-11,20-Mar-11,,"near al-Zab River, near Chia Charmak/Jiajermic, Prde, al-Toon Kobri, 43km north of Kirkuk",body of 18-year-old girl found shot dead,gunfire,1,1
20-Mar-11,20-Mar-11,AM,"Al-Tahrir Square, central Baghdad",,roadside bomb,1,1
20-Mar-11,20-Mar-11,PM,"Al-Busleibi/Bouslabi, east of Dalouiyah","Talib Chiyad, Awakening Council leader and family in car",suicide bomber,6,6
20-Mar-11,20-Mar-11,,"near Shaab Stadium, Zayouna, Baghdad","'Najib Jamal, the Oil Ministry's director for marketing'",drive-by shooting,1,1
19-Mar-11,19-Mar-11,,Mussayab,,roadside bomb,1,1
19-Mar-11,19-Mar-11,,"Al-Amil, west Mosul",building contractor and wife in car near home of wife's parents,drive-by shooting,1,1
19-Mar-11,19-Mar-11,,"Adhamiya, Baghdad","army patrol, civilian killed",roadside bomb,0,1
19-Mar-11,19-Mar-11,,al-Iskandariya,Awakening Council member near home,gunfire,0,1
18-Mar-11,18-Mar-11,,"Qader Karam, al-Touz, south of Kirkuk",children on family picnic,unexploded bomb,2,2
18-Mar-11,18-Mar-11,,south Kirkuk,"Mohammed Khalaf al-Azzawi, lawyer",drive-by shooting,1,1
18-Mar-11,18-Mar-11,,Jurf al-Sakhar,Awakening Council members in home,gunfire,2,2
18-Mar-11,18-Mar-11,PM,"Ahziniya, Al Shakha, east of Muqdadiya","Miqdad Ghadban, policeman",gunfire,1,1
17-Mar-11,17-Mar-11,,"Iskan, west Baghdad",,roadside bomb,1,1
17-Mar-11,17-Mar-11,,north Baghdad,homes of police,roadside bombs,1,1
17-Mar-11,17-Mar-11,,Baiji,shepherds hit,unexploded cluster bomblet,2,3
17-Mar-11,17-Mar-11,5:30 PM,"Bakhakani Hama, Halabja","Rizgar Mahmud, Kurdish security employee",gunfire,0,1
15-Mar-11,16-Mar-11,,New Baaquba,bomb squad policeman in car,magnetic bomb attached to car,1,1
16-Mar-11,16-Mar-11,PM,"Talbiya, east Baghdad",home of Electricity Ministry employee,gunfire,1,1
16-Mar-11,16-Mar-11,,"Tel Abta, 80km northjwest of Mosul",,gunfire,1,1
16-Mar-11,16-Mar-11,,near Buhruz,"house of Awakening Council member, Alwan Jassem",gunfire,1,1
16-Mar-11,16-Mar-11,9:00 AM,"Al Jounhouri Hospital Street, Kirkuk","Director of Kirkuk's Water Office, Abdul-Qader Mohammed Amin",car bomb,2,2
15-Mar-11,15-Mar-11,,Baghdad,,gunfire,1,1
15-Mar-11,15-Mar-11,,"Resafa, Baghdad",detainee,-,1,1
14-Mar-11,14-Mar-11,,Abu Ghraib,car carrying Awakening Council member and wife,gunfire,1,1
14-Mar-11,14-Mar-11,,Falluja,policeman,drive-by shooting,1,1
14-Mar-11,14-Mar-11,PM,"near Bash Blagh, Qurat Hanjier, north of Kirkuk",Body of man found shot dead,gunfire,1,1
14-Mar-11,14-Mar-11,,"Ayadhjiya, Tal Afar",off-duty policeman,gunfire,1,1
14-Mar-11,14-Mar-11,,"Al Amiriya, west Baghdad",,roadside bomb,1,1
14-Mar-11,14-Mar-11,,"Horan Valley, 27 km north of Rutba",hunters or police patrol,gunfire,4,4
13-Mar-11,13-Mar-11,,west Baghdad,,roadside bomb,2,2
13-Mar-11,13-Mar-11,,"Nablus, west Mosul",health centre employee,drive-by shooting,1,1
13-Mar-11,13-Mar-11,PM,"Tameem, south Ramadi",police checkpoint,drive-by shooting,1,1
13-Mar-11,13-Mar-11,3:00-3:20 PM,"Al Tasfirat Prison, Tikrit",detainees shot dead in riot,gunfire,2,3
12-Mar-11,12-Mar-11,,"Zenjlie, west Mosul",police patrol,roadside bomb,2,2
12-Mar-11,12-Mar-11,AM,"Al-Rashid markets, Doura, south Baghdad","police patrol, civilian killed",roadside bomb,1,1
12-Mar-11,12-Mar-11,,"Sheikh Saad, 55 km south of Kut",body of woman in her 20s found shot dead,gunfire,1,1
11-Mar-11,11-Mar-11,,Hawija,clashes during protests near police station,gunfire,2,2
10-Mar-11,10-Mar-11,,"Zajira, Falluja",man at home,roadside bomb,1,1
10-Mar-11,10-Mar-11,,"Faruq, west Mosul",police patrol,roadside bomb,2,2
10-Mar-11,10-Mar-11,,"Sukar, east Mosul",,roadside bomb,3,3
10-Mar-11,10-Mar-11,,"Al-Shuwersat/Shawairtan, Karma",car driver,bomb in car or gunfire,1,1
10-Mar-11,10-Mar-11,,Missan,body of man found shot dead,gunfire,1,1
10-Mar-11,10-Mar-11,,Al-Karma,blacksmith,drive-by shooting,1,1
10-Mar-11,10-Mar-11,,"Rashad, east Baghdad",police patrol,roadside bomb,1,1
10-Mar-11,10-Mar-11,,"Binoog, Baghdad",goldsmith's shop,gunfire,6,6
9-Mar-11,9-Mar-11,,"Mansour, south Mosul",men in mobile repair shop,gunfire,2,2
9-Mar-11,9-Mar-11,AM,"al-Rifai‰Ûªe, west Mosul","convoy of police Col. Abdul Mohammed Otwiba, civilian killed",roadside bomb,1,1
9-Mar-11,9-Mar-11,,"al-Nasr Wal-Salam, southwest Baghdad",police patrol,roadside bomb,2,2
9-Mar-11,9-Mar-11,,Abu Ghraib,home of Awakeninc Council member,bomb,2,2
9-Mar-11,9-Mar-11,,al-Adheim,"Awakening Council member, daughter killed",roadside boomb near home,1,1
9-Mar-11,9-Mar-11,,"al-Makheirja/Haswa, east of Falluja",family in home,gunfire or hand grenade,2,2
9-Mar-11,9-Mar-11,PM,"Dhubat, central Falluja",body of man in his 20s found stabbed,stabbed,1,1
9-Mar-11,9-Mar-11,,Taji,truck driver,magnetic bomb attached to truck,1,1
9-Mar-11,9-Mar-11,,"banks area, east Baghdad","'Sadiq Kazim, architect who works in the Baghdad Governorate'",magnetic bomb attached to car,1,1
8-Mar-11,8-Mar-11,,Ramadi,police,gunfire,2,2
5-Mar-11,8-Mar-11,,west Mosul,body of kidnapped Yazidi man found,executed,1,1
8-Mar-11,8-Mar-11,,Abu Ghraib,government employee,stabbed,1,1
8-Mar-11,8-Mar-11,7:30 AM,"Al-Baried, east Mosul","Mohammad al-Mawla, university professor",gunfire,1,1
8-Mar-11,8-Mar-11,,"al-Dubat/al- Jamhouriyah, near al-Mudalal mosque, central Falluja",son of councillor,gunfire,1,1
8-Mar-11,8-Mar-11,,"Ghadir, east Baghdad",,gunfire,1,1
8-Mar-11,8-Mar-11,PM,"Bunouk, east Baghdad","Sadiq Kadhum, engineer",magnetic bomb attached to car,1,1
8-Mar-11,8-Mar-11,PM,"al-Mashtal, east Baghdad",,gunfire,1,1
7-Mar-11,7-Mar-11,AM,"Adnaniya, 30km northwest of Mosul",bodies found tortured and shot,"gunfire, tortured, executed",2,2
7-Mar-11,7-Mar-11,,"Umm Eneidj, 50 km south of Nasseriya",shepherdess,landmine,0,1
7-Mar-11,7-Mar-11,,"Lizaka, al-Huweija",policeman shot dead in raid on house,gunfire,1,1
7-Mar-11,7-Mar-11,PM,"al-Quds, east Mosul",man near home,gunfire,1,1
7-Mar-11,7-Mar-11,,east of Baquba,body found shot dead,gunfire,1,1
6-Mar-11,6-Mar-11,,east Mosul,man near home,gunfire,1,1
6-Mar-11,6-Mar-11,,"Aden, east Mosul",off-duty policeman near home,drive-by shooting,1,1
3-Mar-11,6-Mar-11,,"Umm al-Shababeet, Sinjar",body of kidnapped high school student found shot dead,"gunfire, executed",1,1
6-Mar-11,6-Mar-11,9:00-10:00 AM,"near railway station, al-Maaqal, north Basra","US military convoy, civilian bus hit",roadside bomb,8,9
6-Mar-11,6-Mar-11,PM,Al-Huweija,doctor,US gunfire,1,1
6-Mar-11,6-Mar-11,,"Al Amiriya, west Baghdad",high school student and college student,gunfire,2,2
6-Mar-11,6-Mar-11,,"al-Gweer/al-Kwair, northeast of Mosul",bodies found tortured and shot,"gunfire, tortured, executed",2,2
5-Mar-11,5-Mar-11,,Baquba Jadeeda,man in car,magnetic bomb attached to car,1,1
5-Mar-11,5-Mar-11,PM,"Um al-Nakhal, Khalis",people at cafe,Kalashnikov rifles,2,2
5-Mar-11,5-Mar-11,,"Abu Khamis, south of Baquba","Jasim Zayd, Awakening Council member",drive-by shooting,1,1
5-Mar-11,5-Mar-11,PM,"al-Jihad, southwest Baghdad",former army officer in home,gunfire,1,1
5-Mar-11,5-Mar-11,,"Hammam al-Alil, south of Mosul",police patrol,roadside bomb,2,2
5-Mar-11,5-Mar-11,,Al-Haswah/Iskandariya,off-duty policeman,magnetic bomb attached to car,1,1
5-Mar-11,5-Mar-11,AM,Shirqat,Iraqi army patrol,roadside bomb,1,1
5-Mar-11,5-Mar-11,,north of Hilla,,roadside bomb,4,4
5-Mar-11,5-Mar-11,,Iskandariya,,gunfire,1,1
5-Mar-11,5-Mar-11,PM,"Yarmouk Street, west Baghdad",car of Sunni Endowment employee,magnetic bomb attached to car,1,1
4-Mar-11,4-Mar-11,,Sadiya,"Qahtan Adnan, former policeman or soldier",gunfire,1,1
4-Mar-11,4-Mar-11,9:00 AM,"near Saylo Touz, al-Aaskari, Tuz Khurmato","Imad Jalil and Jalal Salih, one a member of the Peshmerga",gunfire,1,1
4-Mar-11,4-Mar-11,PM,Shirqat,market,roadside bomb,1,1
2-Mar-11,3-Mar-11,,"al-Qalaa, al-Muqdadiya",family of Awakening Council member in home,gunfire,2,2
3-Mar-11,3-Mar-11,PM,"Kubaisa, west of Ramadi",police captain near home,drive-by shooting,1,1
3-Mar-11,3-Mar-11,,Talafar,Ali al-Jabban son of tribal chief,gunfire,1,1
3-Mar-11,3-Mar-11,,Baquba,,gunfire,2,2
3-Mar-11,3-Mar-11,12:00 PM,Haditha,soldiers collecting salaries at Rafidain bank,suicide bomber,3,6
2-Mar-11,2-Mar-11,AM,"Karama, east of Falluja",market,roadside bomb,2,2
2-Mar-11,2-Mar-11,AM,"Exchange Street, Ghazaliya, west Baghdad","Iraqi army patrol or house of Talib Isaidani, Sunni Endowment official",bombs,1,1
1-Mar-11,1-Mar-11,,"Hassi/Ehsi, al-Aameriya","security checkpoint, policeman killed",gunfire,1,1
1-Mar-11,1-Mar-11,,"al-Sadeeq/Saddik, Mosul",off-duty policeman,gunfire,1,1
1-Mar-11,1-Mar-11,,"Al-Shaarin market, central Mosul",policeman in car,gunfire,1,1
1-Mar-11,1-Mar-11,,"al-Rifai‰Ûªe, west Mosul","Faisal Omar, reporter for al-Mosuliya satellite channel",gunfire,1,1
1-Mar-11,1-Mar-11,PM,"Albo-Saif, south of Mosul",former US army translator,roadside bomb,1,1
1-Mar-11,1-Mar-11,,"Dawret al-Mahrouq, east Mosul","Iraqi army patrol, woman killed",roadside bomb,1,1
28-Feb-11,28-Feb-11,,"Atshana, east Mosul",man near home,gunfire,1,1
28-Feb-11,28-Feb-11,,near Baldruz,car carrying off-duty police,roadside bomb,1,1
28-Feb-11,28-Feb-11,,Qayyara market,market,roadside bomb,1,1
28-Feb-11,28-Feb-11,,"Al Zaytoun Street, Abu Ghraib","car or house of imam, Salah Al Ubaidi, son possibly killed",bomb,0,1
26-Feb-11,26-Feb-11,,Kirkuk,demonstrators,gunfire,1,1
26-Feb-11,26-Feb-11,PM,"Saydiya, southwest Baghdad","Sa'ad Abdul Jabar Abbass, professor at Technological University",gunfire,1,1
26-Feb-11,26-Feb-11,,Ramadi,protesters,gunfire,1,1
26-Feb-11,26-Feb-11,,Sulaymaniya,protesters,"gunfire, bomb",1,2
26-Feb-11,26-Feb-11,4:30 AM,Beiji,"Northern Oil Refinery, workers killed",gunfire,1,4
26-Feb-11,26-Feb-11,AM,"Al-Qadisiya, Kirkuk",bodies of men aged 18 to 20 found shot dead,gunfire,2,2
26-Feb-11,26-Feb-11,,"Musala, Kirkuk",body of man in his 20s found shot dead,gunfire,1,1
25-Feb-11,26-Feb-11,,"Musala, Kirkuk","body of kidnapped boy, Omar Raji Abbas Mazlum, aged 16, found shot dead","gunfire, executed",1,1
25-Feb-11,25-Feb-11,,Chamchamal,protesters,gunfire,1,1
25-Feb-11,25-Feb-11,,"Muwailha, 60km north of Hilla",Awakening Council checkpoint,gunfire or roadside bomb,2,2
25-Feb-11,25-Feb-11,,"al-Raaood, central Karma",family in home,gunfire,6,6
25-Feb-11,25-Feb-11,AM,Hawija,demonstrators,gunfire,2,3
25-Feb-11,25-Feb-11,,Tikrit,protesters,gunfire,2,4
25-Feb-11,25-Feb-11,PM,"Kubaisa, west of Ramadi",protesters,gunfire,2,2
25-Feb-11,25-Feb-11,PM,Samarra,protesters,gunfire,2,7
25-Feb-11,25-Feb-11,,Basra,demonstrators,gunfire,1,1
25-Feb-11,25-Feb-11,AM,Mosul,protesters,gunfire,6,6
25-Feb-11,25-Feb-11,,"Kalar, south of Sulaymaniyah",protesters,gunfire,1,1
25-Feb-11,25-Feb-11,,"Kalar, south of Sulaymaniyah","protesters, 50-year-old man died of injuries",gunfire,1,1
24-Feb-11,24-Feb-11,,near Baquba,minibus,roadside bomb,1,1
24-Feb-11,24-Feb-11,AM,"Al-Shaab, Baghdad",body of 25-year-old man found shot dead or strangled,gunfire or strangled,1,1
24-Feb-11,24-Feb-11,,"al-Bu Khalifa, al-Karma",brother of tribal chief,gunfire,1,1
